version,semilla,makespan,balance,energia,score_agregado,tamano_frente,tiempo_ejecucion
estandar,21,1552.7585432955425,280.5375566912892,624.2957254577542,2.6033554969869557,150,45.466681718826294
estandar,0,1561.2515918856855,287.79338864659275,624.2939194399002,2.6317855477742,150,45.705432415008545
estandar,23,1543.1964131554223,284.6086947717139,623.2986153225772,2.6107204491347247,150,45.73454236984253
estandar,11,1554.7595801039874,283.5099157061795,624.3282898269348,2.6143103993015466,150,45.93094873428345
estandar,10,1559.395579298816,287.282682718392,624.2349785972917,2.6290709871830362,150,46.05844783782959
estandar,20,1545.042059424057,287.3262226000371,623.2756734155122,2.620668924210503,150,46.07978367805481
estandar,19,1547.8502664678942,285.85251505199494,623.5374614983267,2.6175346522143967,150,46.09821557998657
estandar,1,1543.1679654406007,285.4160867325837,623.2395894389444,2.613313209122643,150,47.98461723327637
estandar,16,1542.1162708944407,285.1135784121156,623.112873130683,2.61159797748382,150,68.75202584266663
estandar,17,1543.654769280061,281.45334285898423,623.5686114327312,2.6008174962167367,150,72.18167853355408
estandar,8,1540.6172268258924,284.46209902378564,623.1887563699084,2.6087852621159104,150,72.52595663070679
estandar,15,1543.493705967377,281.6047403055708,623.5994286061663,2.6012856472491617,150,72.78946018218994
estandar,13,1542.161950209743,285.16876545424384,623.2104243454984,2.6119441328268724,150,73.02612066268921
estandar,2,1545.426377248934,284.60695528739797,623.2905502673195,2.6118181113929166,150,73.06732654571533
estandar,12,1552.0685224469646,283.8012772055067,623.9392139993854,2.6133802528600074,150,73.22762823104858
estandar,9,1549.8299395373926,287.40786766547086,623.6452668138345,2.6238630050543152,150,73.34536814689636
estandar,14,1562.4872869989792,287.81593315827587,624.3827775217793,2.6326054838200936,150,73.46374082565308
estandar,3,1548.1444449779353,281.0361825560898,623.8620892135236,2.602091053695253,150,73.48687553405762
estandar,5,1542.312436817681,282.95545928265625,623.3972921816894,2.6049086429439177,150,73.58087396621704
estandar,4,1542.98381215724,284.90135581880634,623.2289808277362,2.6114902076095023,150,73.77808952331543
estandar,6,1553.539545248157,287.4611862257152,623.832014977001,2.626162319534083,150,73.96953535079956
estandar,22,1542.9022719826285,287.54414326202317,623.1189928592481,2.6201016033303173,150,74.22937726974487
estandar,18,1562.9398971852204,287.1300125913427,624.4761621538087,2.630678793640622,150,74.35279130935669
estandar,7,1562.1629400451786,287.3262226000371,624.4170654569203,2.6308599245802182,150,74.63206219673157
estandar,24,1550.4042109907841,281.0366335528995,624.0918591685182,2.603550682817226,150,47.256633281707764
estandar,26,1543.3865569827092,284.0450033124269,623.366680565094,2.60903378557815,150,47.04866290092468
estandar,27,1553.041659642401,284.7542659245417,623.8835679843334,2.616963956213959,150,47.413158655166626
estandar,25,1548.861058472197,283.1054020866119,623.6998025518018,2.609114920789284,150,47.70103073120117
estandar,28,1541.731189926559,282.8782918138052,623.4114862352051,2.6043810718214946,150,47.516327142715454
estandar,29,1560.4351177988158,287.56156848770485,624.2813369207623,2.6305866018404656,150,47.896591901779175
memetico,0,1556.9416465010152,285.9932030619576,624.099931763758,2.6233528312147825,150,51.67749810218811
memetico,1,1554.1885498560716,281.3947694567543,624.2790020210983,2.6069039855283096,150,50.86731767654419
memetico,18,1550.2952201214002,286.2896148954876,623.6463676022856,2.6203697086679716,150,52.386106729507446
memetico,19,1543.549267165515,279.2588410474714,623.7701665258105,2.593737674968344,150,52.42580795288086
memetico,20,1546.2154919819739,284.4766391321895,623.461998142265,2.612023207111045,150,52.17773079872131
memetico,22,1543.5072807897159,284.88910247685686,623.3331903931006,2.611859968260239,150,52.16856837272644
memetico,21,1551.3648758218774,283.73024530304343,623.8856627239795,2.612715154717245,150,52.54737734794617
memetico,23,1543.6022772258038,284.12497605679613,623.3599927903983,2.60939866755041,150,52.87264800071716
memetico,2,1543.3842581003396,285.78008165636254,623.2204085675712,2.6146072706202896,150,81.16648125648499
