configuracion,cruce,mutacion,semilla,makespan,balance,energia,tamano_frente,score_agregado,tiempo
Uniforme + Swap,uniforme,swap,12,1560.680641478648,283.0138568502222,624.4188032110312,100,2.615746705303443,17.91835117340088
Uniforme + Swap,uniforme,swap,1,1563.740327290936,279.7071617360573,624.9416057164482,100,2.6070010918843947,17.947835683822632
Uniforme + Swap,uniforme,swap,21,1556.2970074374825,278.1931485380192,624.5681439340427,100,2.597699204465533,17.949300289154053
Uniforme + Swap,uniforme,swap,0,1566.4478556869603,282.7247636327381,625.0257262706604,100,2.6185337012916454,18.018141508102417
Uniforme + Swap,uniforme,swap,9,1563.531567011702,280.8287291688013,624.8533347861999,100,2.610509168524998,18.036455869674683
Uniforme + Swap,uniforme,swap,20,1563.3095893455163,282.84654531878294,624.6839377236131,100,2.616882237721482,18.07028293609619
Uniforme + Swap,uniforme,swap,10,1562.370307927077,282.00713364454765,624.5729225077168,100,2.6134559649325784,18.102264165878296
Uniforme + Swap,uniforme,swap,11,1562.655167753509,283.3416071234722,624.6754046299036,100,2.6181930428072384,18.119937896728516
Uniforme + Swap,uniforme,swap,15,1559.062472024413,278.3697471494122,624.7056216332406,100,2.599866995510115,30.036800622940063
Uniforme + Swap,uniforme,swap,14,1557.6687029244013,277.5655421335085,624.5711578000069,100,2.596297336383429,30.039103031158447
Uniforme + Swap,uniforme,swap,16,1561.0288817240573,282.5412611630313,624.6017436500058,100,2.614606849953094,30.076292276382446
Uniforme + Swap,uniforme,swap,17,1558.46756574538,283.06583884400607,624.4114802562079,100,2.614802979385388,30.078543663024902
Uniforme + Swap,uniforme,swap,2,1561.6455035365261,280.22346294057576,624.7441701475012,100,2.6073926332094697,30.10761785507202
Uniforme + Swap,uniforme,swap,23,1560.8520793213497,279.7035644985624,624.7663220420296,100,2.6052945718587823,30.263612031936646
Uniforme + Swap,uniforme,swap,3,1552.621232606681,280.89652043454765,624.1865762267189,100,2.6043274599804787,30.27862024307251
Uniforme + Swap,uniforme,swap,13,1556.7237311373162,281.32176902077384,624.4112578970559,100,2.6081171783479844,30.28311276435852
Uniforme + Swap,uniforme,swap,22,1558.4270964543414,280.45957639833244,624.5825919083602,100,2.6063396484716503,30.329922437667847
Uniforme + Swap,uniforme,swap,19,1560.6195841741924,282.97154978978136,624.7052753771397,100,2.6159843990679956,30.337897539138794
Uniforme + Swap,uniforme,swap,4,1562.7773254104281,277.1640064133755,625.0042792864969,100,2.5981319402066996,30.363019227981567
Uniforme + Swap,uniforme,swap,7,1559.0489024116343,279.8092831507279,624.5984698693796,100,2.604505590093072,30.366600275039673
Uniforme + Swap,uniforme,swap,18,1554.365336063131,277.5326515954744,624.5377242056522,100,2.5944882555483644,30.391556978225708
Uniforme + Swap,uniforme,swap,5,1547.74821093207,276.1626211020727,624.1684300779986,100,2.58608536163199,30.393133878707886
Uniforme + Swap,uniforme,swap,6,1557.5743686641144,278.5565340643797,624.6098289424849,100,2.5996087201787774,30.435018062591553
Uniforme + Swap,uniforme,swap,8,1554.8890255585472,279.79335116872994,624.3541984092278,100,2.6020235858310796,30.461448192596436
Uniforme + Swap,uniforme,swap,25,1559.759541291514,277.40156196362756,624.9219562038224,100,2.5972972955775955,20.447943687438965
Uniforme + Swap,uniforme,swap,26,1557.2041763291415,276.2339769987264,624.7233556263084,100,2.591843948102671,20.517295837402344
Uniforme + Swap,uniforme,swap,24,1558.6979100749204,282.50163030500175,624.4613845053312,100,2.6131087482046063,20.645684719085693
Uniforme + Swap,uniforme,swap,29,1558.9571277289863,280.3134003968471,624.651627592868,100,2.606216033177128,20.505561113357544
Uniforme + Swap,uniforme,swap,27,1560.993208602583,283.5065413295914,624.572778843952,100,2.617765235653194,20.595492601394653
Uniforme + Insert,uniforme,insert,0,1566.7337472511322,284.74853242020237,624.7485302406913,100,2.625026548703419,20.595970392227173
Uniforme + Swap,uniforme,swap,28,1563.7048845716304,281.58575729790476,624.8346045128437,100,2.6130924968686076,20.664570808410645
Uniforme + Insert,uniforme,insert,1,1557.9403380881374,279.8040700941549,624.5073989046156,100,2.603803829697845,20.610776662826538
Uniforme + Insert,uniforme,insert,18,1561.0704493219105,283.5137156636267,624.5706088169612,100,2.6178246704210846,20.586323738098145
Uniforme + Insert,uniforme,insert,19,1578.0782955140573,280.7554704814987,625.8352109408961,100,2.6189410173728285,20.569014310836792
Uniforme + Insert,uniforme,insert,24,1561.1867527173258,278.9242199994319,624.9336428509595,100,2.603103123286711,20.443275928497314
Uniforme + Insert,uniforme,insert,20,1566.1763506914476,285.29989140882367,624.8375690656678,100,2.626712912040376,20.626855850219727
Uniforme + Insert,uniforme,insert,25,1560.3309774507577,285.4044599831783,624.4253000893144,100,2.6235498316540413,20.533804178237915
Uniforme + Insert,uniforme,insert,21,1561.4681050174913,283.1562895028173,624.5816345642311,100,2.6168478288003714,20.691499948501587
Uniforme + Insert,uniforme,insert,23,1567.0288817240573,281.7727286843641,625.0179718997038,100,2.6156396868094856,20.652281045913696
Uniforme + Insert,uniforme,insert,22,1579.5745120281365,282.1206093660831,625.8610550918376,100,2.6242765087941136,20.806506395339966
Uniforme + Insert,uniforme,insert,2,1561.7931012074241,281.36364072824904,624.7068098362419,100,2.611213652797269,32.64655518531799
Uniforme + Insert,uniforme,insert,4,1563.2343535813955,282.7967128925976,624.7311230316261,100,2.616745919335013,32.75462079048157
Uniforme + Insert,uniforme,insert,5,1563.9833829237732,282.51862705946206,624.7910408825569,100,2.6162790781589846,33.00091314315796
Uniforme + Insert,uniforme,insert,9,1564.2325597801441,282.49577156001754,624.8043560408674,100,2.6163465032437507,32.965033292770386
Uniforme + Insert,uniforme,insert,3,1559.8636033551575,282.41504568134593,624.5327543449459,100,2.6135049363462737,33.306806802749634
Uniforme + Insert,uniforme,insert,7,1563.4296108805324,283.4640249980332,624.7166350902754,100,2.619047224610294,33.23317265510559
Uniforme + Insert,uniforme,insert,13,1577.9203233140577,282.06996664532767,625.7511599823737,100,2.623123612354369,33.148276567459106
Uniforme + Insert,uniforme,insert,12,1557.0830858218774,282.79876299959983,624.3178527386425,100,2.613086733012427,33.162028551101685
Uniforme + Insert,uniforme,insert,6,1557.829147651617,279.7964254607575,624.5383109091374,100,2.60376691237472,33.76316571235657
Uniforme + Insert,uniforme,insert,14,1555.7330390477891,281.74449179851024,624.3301531042198,100,2.6089150442392426,33.613133907318115
Uniforme + Insert,uniforme,insert,15,1562.962831095404,280.62337520725146,624.8042984831509,100,2.609470235500184,33.63965344429016
Uniforme + Insert,uniforme,insert,11,1563.8768533400287,280.18872891920074,624.8968413200844,100,2.6086106297150895,33.74545764923096
Uniforme + Insert,uniforme,insert,10,1565.7773145346537,284.93447151935266,624.8314396207546,100,2.625286571313866,33.76821804046631
Uniforme + Insert,uniforme,insert,17,1565.0460483040576,283.7979705263006,624.8265437885763,100,2.621125607509092,33.73122787475586
Uniforme + Insert,uniforme,insert,8,1575.1369792419073,278.72599847253053,625.7498248107662,100,2.6105834723542927,33.92871904373169
Uniforme + Insert,uniforme,insert,16,1564.696319378587,282.6389958197917,624.8003680606579,100,2.6170501001276345,34.058032274246216
Uniforme + Insert,uniforme,insert,29,1555.267575821877,280.07763486813843,624.3339241292392,100,2.60313151003698,20.842597007751465
Uniforme + Insert,uniforme,insert,27,1556.345191977542,280.9306243662056,624.3505419713312,100,2.60653735621612,21.006523847579956
Uniforme + Insert,uniforme,insert,26,1580.63571710408,284.98588644254215,625.802074785678,100,2.634273777340054,21.15046262741089
Uniforme + Invert,uniforme,invert,1,1556.2606320778202,280.903972878457,624.5258537580014,100,2.6066566833832927,20.89350724220276
Uniforme + Invert,uniforme,invert,0,1552.8178423091952,281.15778058633435,624.1131842878737,100,2.6051917863774365,20.905173301696777
Uniforme + Invert,uniforme,invert,3,1556.1011304281524,283.78049999872763,624.2444430645314,100,2.6157633410163084,20.794211626052856
Uniforme + Insert,uniforme,insert,28,1555.6789020852011,281.81147776201465,624.3550439461208,100,2.609146820648536,21.102506399154663
Uniforme + Invert,uniforme,invert,2,1560.0954754809968,284.3844589262359,624.4666331208435,100,2.620091124333918,20.914449214935303
Uniforme + Invert,uniforme,invert,4,1552.7748892127895,279.9630345441393,624.3337899050749,100,2.601502973903633,33.378333568573
Uniforme + Invert,uniforme,invert,5,1547.0111842033532,282.7738170409457,623.6766049000672,100,2.6070515606668296,33.474721908569336
Uniforme + Invert,uniforme,invert,7,1560.997250573937,280.3713417204941,624.6846302752803,100,2.607476379034254,33.48324513435364
Uniforme + Invert,uniforme,invert,6,1571.2909594240573,282.5592943803028,625.3105079239125,100,2.6208105199186273,33.75076746940613
Uniforme + Invert,uniforme,invert,10,1563.2024785451786,283.5022429194712,624.7089316722211,100,2.6190500466311426,33.460365295410156
Uniforme + Invert,uniforme,invert,8,1559.664770600237,282.0404165945639,624.5221413696767,100,2.612141594952965,33.696096658706665
Uniforme + Invert,uniforme,invert,11,1553.4915377553957,282.4910668437231,624.1379146730935,100,2.6100082507469087,33.57849955558777
Uniforme + Invert,uniforme,invert,9,1559.31218235847,282.84181281532483,624.462504286702,100,2.6145514257351303,33.62364673614502
Uniforme + Invert,uniforme,invert,14,1545.272294522014,281.27037492606445,623.6484752374528,100,2.601130456877583,33.90579319000244
Uniforme + Invert,uniforme,invert,12,1557.9053152538365,280.8206002747142,624.5469050449202,100,2.607231189559185,34.148247718811035
Uniforme + Invert,uniforme,invert,13,1559.3983060996177,283.2910970377287,624.4686154433363,100,2.6161008319041468,34.12187457084656
Uniforme + Invert,uniforme,invert,16,1554.6951594240572,282.1679177317275,624.1933695030694,100,2.6096121190602672,34.100337743759155
Uniforme + Invert,uniforme,invert,17,1549.6576414240574,281.9393482269987,623.7778303678474,100,2.6057378343751396,34.014888048172
Uniforme + Invert,uniforme,invert,15,1556.2673915962614,279.25202544240653,624.5619739491913,100,2.60120517196214,34.19403624534607
Uniforme + Invert,uniforme,invert,18,1541.8862985014819,283.2430711242586,623.298931077909,100,2.605513764061949,34.12338614463806
Uniforme + Invert,uniforme,invert,19,1549.7182686110534,283.1255154472631,623.8506774948398,100,2.6098261060271275,34.36459493637085
Uniforme + Invert,uniforme,invert,24,1553.5313436441575,282.4230798651977,624.0993660704008,100,2.60974646099712,20.881001949310303
Uniforme + Invert,uniforme,invert,20,1552.8073704341698,281.7528147572845,624.0836126950485,100,2.607127752543817,21.085465669631958
Uniforme + Invert,uniforme,invert,21,1549.5020605203079,277.6189686717701,624.1502313849411,100,2.5917907801921607,21.078540325164795
Uniforme + Invert,uniforme,invert,25,1569.2909594240573,285.2045235650087,625.0363588192602,100,2.628236308956239,20.940016746520996
Uniforme + Invert,uniforme,invert,23,1570.9203233140577,283.3127993024623,625.228118071559,100,2.623019185148416,21.024226903915405
Uniforme + Invert,uniforme,invert,26,1548.9366594240576,283.279457055598,623.7372678410675,100,2.6097864263369757,20.943660736083984
Uniforme + Invert,uniforme,invert,22,1553.0133525130152,282.34783418456794,623.9923224124283,100,2.6090837269847267,21.07813048362732
Uniforme + Invert,uniforme,invert,27,1547.8690217055305,277.59071834412174,624.0597059413697,100,2.590750770963699,20.94851517677307
1-Punto + Swap,un_punto,swap,14,1551.2571687980003,282.18450314605326,623.9566819014166,100,2.6076102833164394,20.478452682495117
1-Punto + Swap,un_punto,swap,15,1568.7170832979768,282.018022890401,625.1947961917148,100,2.6175540410813465,20.521689891815186
1-Punto + Swap,un_punto,swap,17,1553.7515227185038,280.5816032998559,624.2915414332258,100,2.603992831549094,20.579519033432007
1-Punto + Swap,un_punto,swap,16,1559.8233078622736,280.50196717760736,624.6144728672681,100,2.607224601000211,20.617095708847046
1-Punto + Swap,un_punto,swap,19,1566.7704935624197,282.85501714047314,625.1794850037405,100,2.6193488539214638,20.561614751815796
1-Punto + Swap,un_punto,swap,21,1562.0425233140577,282.5125406588679,624.7763139000718,100,2.6152673218057387,20.599736213684082
1-Punto + Swap,un_punto,swap,20,1560.7940633786866,282.50419126696784,624.6022172022064,100,2.6143665509633403,20.619078874588013
1-Punto + Swap,un_punto,swap,18,1565.8539226515072,283.99401481810656,624.8548478275002,100,2.6222234599968233,20.661826133728027
1-Punto + Swap,un_punto,swap,0,1562.5994785451794,283.9835439406512,624.6315860177235,100,2.62024238957627,33.23386836051941
Uniforme + Invert,uniforme,invert,28,1557.3179667788347,278.71717586140005,624.5572729455957,100,2.599940911897316,33.9957218170166
1-Punto + Swap,un_punto,swap,2,1561.7507792988154,280.39322470439845,624.7432177013848,100,2.608009782999381,33.243006467819214
1-Punto + Swap,un_punto,swap,1,1561.632300045179,283.062532418732,624.5931426410634,100,2.616633842810358,33.395002126693726
1-Punto + Swap,un_punto,swap,4,1562.3429080588091,284.05140969096993,624.4693944018786,100,2.6201086211924647,33.28029799461365
Uniforme + Invert,uniforme,invert,29,1559.4560509951348,284.6344315212111,624.4112733580447,100,2.6205255686988114,34.14478087425232
1-Punto + Swap,un_punto,swap,5,1554.467283832351,281.72106487098796,624.0459878961744,100,2.6077981265759083,33.3406035900116
1-Punto + Swap,un_punto,swap,3,1553.7641955611953,278.47165913594074,624.3556158381732,100,2.5970575556216,33.637041091918945
1-Punto + Swap,un_punto,swap,7,1559.0288817240573,273.58789729772326,625.1241602026429,100,2.58450861309631,34.085543632507324
