configuracion,cruce,mutacion,semilla,makespan,balance,energia,tamano_frente,score_agregado,tiempo
1-Punto + Swap,un_punto,swap,6,1563.3014187765432,278.9029226281929,624.9911756263978,100,2.6041716547580545,34.258304595947266
1-Punto + Swap,un_punto,swap,10,1565.7943210995866,277.6755090339396,625.18691912629,100,2.6016063608433395,34.146326303482056
1-Punto + Swap,un_punto,swap,8,1555.4414156076639,282.0953491701137,624.2478911019465,100,2.609821239945087,34.28503775596619
1-Punto + Swap,un_punto,swap,11,1565.2564669482724,280.6277113916472,624.9612358528817,100,2.610855703617077,34.13758325576782
1-Punto + Swap,un_punto,swap,12,1560.2512250210411,279.745672772772,624.7002585264369,100,2.6050401291718135,34.21053385734558
1-Punto + Swap,un_punto,swap,9,1556.77266563986,275.64886099286866,624.8330164602816,100,2.589834464406085,34.490440368652344
1-Punto + Swap,un_punto,swap,13,1557.3538865922508,282.95105132258647,624.3515975747342,100,2.6137779680496056,34.49952292442322
1-Punto + Swap,un_punto,swap,22,1547.9419873991826,282.5983379859921,623.7874500282538,100,2.6070903822646896,20.80150556564331
1-Punto + Swap,un_punto,swap,24,1546.8989388682996,282.02224988814885,623.6859101287824,100,2.6045035073405254,20.651775121688843
1-Punto + Swap,un_punto,swap,23,1560.4351177988165,277.7306120713658,624.8158736023552,100,2.5985803709501827,20.820661067962646
1-Punto + Swap,un_punto,swap,26,1561.9692359450812,279.7359447055249,624.8162196264279,100,2.606032366457282,20.76685667037964
1-Punto + Swap,un_punto,swap,27,1557.539433460533,282.64763235400414,624.3579943109893,100,2.6128684831164555,20.784583568572998
1-Punto + Swap,un_punto,swap,28,1563.852264223422,283.56902088857794,624.8031357670775,100,2.6197321099789863,20.841692447662354
1-Punto + Swap,un_punto,swap,29,1555.2250744790501,282.53206602158383,624.2403512450067,100,2.611158020994814,20.86763882637024
1-Punto + Swap,un_punto,swap,25,1582.1734176126567,282.94011262565726,626.0063984813856,100,2.6285152725319274,20.998534679412842
1-Punto + Insert,un_punto,insert,17,1563.1871953704842,284.47074376613836,624.6413223865375,100,2.6221741565055185,20.738889455795288
1-Punto + Insert,un_punto,insert,16,1565.0251750901705,284.7361394528841,624.7990043099153,100,2.624203058545054,20.80847144126892
1-Punto + Insert,un_punto,insert,18,1573.4124992988163,284.46116526705686,625.3474823952463,100,2.6282636801518544,20.806602716445923
1-Punto + Insert,un_punto,insert,19,1571.9571563381264,281.76383466187434,625.3373067649188,100,2.6185303700394806,20.754886388778687
1-Punto + Insert,un_punto,insert,20,1572.6656193003469,284.93123929202403,625.2906915264166,100,2.629376023756563,20.785146713256836
1-Punto + Insert,un_punto,insert,21,1562.8934467133506,284.5767257349034,624.6736564452203,100,2.6224267469185727,20.777745723724365
1-Punto + Insert,un_punto,insert,22,1577.2060744318578,282.35867393634123,625.7151164189986,100,2.6236773547451597,20.848449230194092
1-Punto + Insert,un_punto,insert,23,1577.291079298816,284.37271395216993,625.5915345648082,100,2.630256778392081,20.901350021362305
1-Punto + Insert,un_punto,insert,1,1563.8232552162797,283.5339381562494,624.7668653713797,100,2.619548848183323,33.848883628845215
1-Punto + Insert,un_punto,insert,0,1564.0647135901702,283.88910923887624,624.7469111792992,100,2.620824974990338,34.006603479385376
1-Punto + Insert,un_punto,insert,5,1557.3310742823492,282.47418265826747,624.4174458981167,100,2.6122710687136617,33.59973430633545
1-Punto + Insert,un_punto,insert,2,1561.0571843940581,282.2317238476584,624.6427497069673,100,2.6136477903182245,33.949753284454346
1-Punto + Insert,un_punto,insert,3,1565.26117656711,282.17282886642096,624.8970304595783,100,2.6159167280186413,34.04213309288025
1-Punto + Insert,un_punto,insert,6,1565.8688419013508,283.0416525977645,624.870770369122,100,2.6190791253753027,34.06773495674133
1-Punto + Insert,un_punto,insert,4,1573.4023241724615,284.4716799939463,625.3541912750323,100,2.6283032257922883,34.223037004470825
1-Punto + Insert,un_punto,insert,7,1572.4421811802508,283.9014224094999,625.3002879731106,100,2.625845290964331,34.14006805419922
1-Punto + Insert,un_punto,insert,8,1570.1437205040577,284.33728750207,625.1484602059634,100,2.6259320474579244,34.29680013656616
1-Punto + Insert,un_punto,insert,11,1556.4084534137592,284.0133102467651,624.2215148194414,100,2.616660282033394,34.25667190551758
1-Punto + Insert,un_punto,insert,10,1573.7539535096466,282.41110109500903,625.4279240005575,100,2.621715776596126,34.33339595794678
1-Punto + Insert,un_punto,insert,9,1577.2091736667178,284.2802496207541,625.6751630444973,100,2.630027080394678,34.51012969017029
1-Punto + Insert,un_punto,insert,13,1564.5456398972224,281.0726563350594,624.8878739129652,100,2.6118786371316167,34.25147318840027
1-Punto + Insert,un_punto,insert,12,1567.2833547239068,285.39339895579957,624.894838869106,100,2.62765991988477,34.409181118011475
1-Punto + Insert,un_punto,insert,14,1553.5200319341695,284.70865574023264,623.9945747096018,100,2.617209689448244,34.43245077133179
1-Punto + Insert,un_punto,insert,15,1570.6879594240572,284.6059609116007,625.2060662145018,100,2.6271820392476046,34.873303174972534
1-Punto + Insert,un_punto,insert,24,1563.1138077114797,285.16166537444275,624.6383956523412,100,2.624436353654846,20.94803738594055
1-Punto + Insert,un_punto,insert,25,1567.8318448232458,281.55290270211555,625.0944241053334,100,2.615417632521532,21.03176474571228
1-Punto + Insert,un_punto,insert,28,1565.4412563385124,284.4217988642719,624.872734514559,100,2.623468626070961,20.936710357666016
1-Punto + Insert,un_punto,insert,27,1574.0323308750958,284.49076794238323,625.3997073040172,100,2.628746878536945,21.047856092453003
1-Punto + Insert,un_punto,insert,26,1580.0956380121102,282.6198891692252,625.8870452659777,100,2.626238466616774,21.097859382629395
1-Punto + Insert,un_punto,insert,29,1560.3508497445187,283.7703666501045,624.499856186053,100,2.618219298733636,21.05909490585327
1-Punto + Invert,un_punto,invert,0,1561.041982114152,283.7841820447883,624.5517865696327,100,2.618685102496322,21.004328966140747
1-Punto + Invert,un_punto,invert,1,1546.388192159692,284.3376981866476,623.5537637043868,100,2.611777514374938,21.044869661331177
1-Punto + Invert,un_punto,invert,2,1552.4227595500395,279.9809944026313,624.2502463445803,100,2.601267427323667,33.75575518608093
1-Punto + Invert,un_punto,invert,4,1548.8236626060846,279.2241499541224,624.1571410499479,100,2.5968120564595667,33.696898221969604
1-Punto + Invert,un_punto,invert,3,1562.5835972934572,282.32060397955985,624.7530234406215,100,2.6148647977794823,34.008588790893555
1-Punto + Invert,un_punto,invert,6,1548.7351448906952,277.60525671420186,624.1796560013767,100,2.5914036510184633,33.76173186302185
1-Punto + Invert,un_punto,invert,5,1548.7529594240568,283.67635323540856,623.7395086011937,100,2.611020764688905,34.029043197631836
1-Punto + Invert,un_punto,invert,7,1561.6720838728388,283.6770138012964,624.6439175676863,100,2.618774541608864,33.85517907142639
1-Punto + Invert,un_punto,invert,9,1542.70797086642,283.20809350731696,623.3906614070315,100,2.605939051515264,33.920661211013794
1-Punto + Invert,un_punto,invert,8,1560.401859424057,282.424265998242,624.5568407713948,100,2.613839207951018,34.176026582717896
1-Punto + Invert,un_punto,invert,10,1562.0089746838157,280.0780186571675,624.7615575596205,100,2.6071143936652574,34.163489818573
1-Punto + Invert,un_punto,invert,12,1546.172276591951,284.724150463636,623.5228783316933,100,2.612913608886705,34.03590941429138
1-Punto + Invert,un_punto,invert,11,1559.6502282450695,281.001255678468,624.5850805814634,100,2.6087603672147566,34.14369034767151
1-Punto + Invert,un_punto,invert,13,1554.4289594240577,284.4222974562705,624.0753364052324,100,2.6168249994308814,34.13214421272278
1-Punto + Invert,un_punto,invert,14,1550.1499594240568,280.92988860940955,623.9446112638306,100,2.6028573864060087,34.143988370895386
1-Punto + Invert,un_punto,invert,15,1556.1971523356729,281.90082699760814,624.3272304803661,100,2.609664043036577,34.25855207443237
1-Punto + Invert,un_punto,invert,16,1561.1069235901703,282.9454094722505,624.6147770141642,100,2.616011651008536,34.176498889923096
1-Punto + Invert,un_punto,invert,17,1551.9060559118775,285.5666380517738,623.8505873054371,100,2.619056946183904,33.36501407623291
1-Punto + Invert,un_punto,invert,19,1562.6103507257492,282.1789663954919,624.7196949146996,100,2.6143584370355137,20.323209047317505
1-Punto + Invert,un_punto,invert,22,1557.8382485194106,281.4478348696859,624.5017581256162,100,2.609223942576205,20.213308572769165
1-Punto + Invert,un_punto,invert,23,1561.0811762198157,283.5323200928861,624.5662400683298,100,2.617885807564761,20.249773025512695
1-Punto + Invert,un_punto,invert,18,1561.5599400451788,281.301380196561,624.69497119634,100,2.6108726247678025,21.03314995765686
1-Punto + Invert,un_punto,invert,24,1555.2468725785286,282.55942510419385,624.3619360513571,100,2.6114338095670875,20.56774878501892
1-Punto + Invert,un_punto,invert,20,1560.1861821140576,282.64538914324305,624.5254990254621,100,2.614423672523261,20.892210245132446
1-Punto + Invert,un_punto,invert,25,1552.8073704341698,284.213906125046,623.9684215401652,100,2.6151668316436645,20.594982862472534
1-Punto + Invert,un_punto,invert,21,1554.269679026522,281.1475659656583,624.2352397701845,100,2.606058020975243,21.22563147544861
1-Punto + Invert,un_punto,invert,28,1554.0618488204593,283.799219542933,624.0670237976844,100,2.614552642597651,17.84520983695984
1-Punto + Invert,un_punto,invert,27,1552.6187174118772,283.58603966820607,623.9989231134641,100,2.6130231906191934,18.07911777496338
1-Punto + Invert,un_punto,invert,29,1553.6350843062385,285.0138724682505,624.0366074140575,100,2.618344651448322,17.863829851150513
1-Punto + Invert,un_punto,invert,26,1561.9985792988157,282.6516013864664,624.6617135770174,100,2.6155451708095585,18.372715711593628
