tamano_poblacion,num_generaciones,prob_cruce,prob_mutacion,cada_k_gen,max_iter_local,prom_makespan,prom_balance,prom_energia,prom_tiempo,prom_score
100,400,0.8,0.1,5,3,1555.4970427567926,282.9413574177705,624.2505683839172,15.292146980762482,2.61267290570037
150,500,0.85,0.125,7,4,1551.3881070602483,286.7175615784891,623.7150231905972,32.994340002536774,2.6224407204926075
200,600,0.9,0.15,10,5,1547.3372197288604,285.7390029478507,623.5274188930459,57.29294902086258,2.6168854085854267
