variante,semilla,cruce,mutacion,tiempo,makespan,balance,energia,score_agregado,tamano_frente
NSGA2_completo,4,uniforme,swap,18.03242516517639,1545.1189752308012,281.0293566343042,623.651345075961,2.6002545026954063,70
NSGA2_completo,10,uniforme,swap,18.184267282485962,1546.4827428460762,285.9802768997309,623.2854310874449,2.6169167197851575,67
NSGA2_completo,11,uniforme,swap,18.403817892074585,1552.5310031682777,282.59083849057225,624.0238817808688,2.609697651477764,68
NSGA2_completo,21,uniforme,swap,18.409033060073853,1553.2268388981058,279.186149541365,624.3493877390748,2.5991616146903764,62
NSGA2_completo,7,uniforme,swap,18.48793387413025,1553.5003203839497,282.9284141854681,624.1225584647642,2.6114485290931984,66
NSGA2_completo,15,uniforme,swap,18.559423208236694,1545.3920981611498,280.7780731385835,623.6095406927568,2.599493731960744,64
NSGA2_completo,1,uniforme,swap,18.684001922607422,1561.6677135901698,277.07503602720743,624.9965977881099,2.5972695927735523,62
NSGA2_completo,19,uniforme,swap,22.70857262611389,1558.0440562523997,281.5541826699253,624.4274515651136,2.609575186880875,69
NSGA2_completo,16,uniforme,swap,22.931392431259155,1545.0113768520587,274.35696813993115,624.1781070241699,2.5787119255936615,55
NSGA2_completo,18,uniforme,swap,29.514320850372314,1553.7494927616528,276.0571915329345,624.7546631265529,2.589572046433303,58
NSGA2_completo,13,uniforme,swap,29.56153154373169,1553.2320032053035,283.02309349998933,624.1382411095666,2.611652371997235,74
NSGA2_completo,0,uniforme,swap,29.59196376800537,1553.7090923359106,280.41866233441255,624.2751944696436,2.6034051270012024,70
NSGA2_completo,6,uniforme,swap,29.617440223693848,1549.3322911060025,274.27359868221566,624.6742237521881,2.581303222711132,60
NSGA2_completo,20,uniforme,swap,29.73576045036316,1557.8211620225075,283.98000606993725,624.3240712587882,2.6174021316140754,79
NSGA2_completo,5,uniforme,swap,29.744328498840332,1553.3133399940032,279.8167247590631,624.3364414888612,2.6012882879874897,66
NSGA2_completo,8,uniforme,swap,29.74724555015564,1545.2286605602442,282.307055454797,623.6823223463932,2.604612594671912,73
NSGA2_completo,2,uniforme,swap,29.75315022468567,1558.756432872993,281.82907470585525,624.5449356868837,2.6110155164372766,73
NSGA2_completo,23,uniforme,swap,29.758235931396484,1555.376455532022,282.76283321278,624.217322672782,2.611970037531633,69
NSGA2_completo,9,uniforme,swap,29.899449586868286,1552.2530068028072,282.860748328717,624.0239590160955,2.6104584630915495,72
NSGA2_completo,14,uniforme,swap,30.018778324127197,1546.388937440487,285.56869941572893,623.388541191998,2.6156451922850517,73
NSGA2_completo,17,uniforme,swap,30.035299062728882,1553.1277594379474,283.5640243824984,624.0461196999184,2.613271751041471,73
NSGA2_completo,3,uniforme,swap,30.041034698486328,1561.2517749066299,283.6948494397353,624.5276448921079,2.6184577354316345,74
NSGA2_completo,12,uniforme,swap,30.086034536361694,1557.900877656302,278.4561721584062,624.7275833011856,2.5996056555007225,67
NSGA2_completo,22,uniforme,swap,30.167659521102905,1543.0675364273065,285.7980627542166,623.2473641483119,2.6145473547491065,75
NSGA2_completo,24,uniforme,swap,20.678860187530518,1553.856989079909,278.1678004232904,624.478629271936,2.5962668234822597,66
NSGA2_completo,25,uniforme,swap,20.805602312088013,1554.390332475914,282.23536490601623,624.2601004126892,2.609779859371377,77
NSGA2_completo,27,uniforme,swap,20.93146824836731,1546.926522288229,277.6836756631896,623.991714027422,2.5904922476796353,76
NSGA2_completo,29,uniforme,swap,21.011507511138916,1553.7248476448488,279.3523629130241,624.3592545165595,2.5999787590323518,57
NSGA2_completo,26,uniforme,swap,21.243927717208862,1564.44209976522,282.6071022503713,624.8825254422045,2.6169340461108064,75
NSGA2_completo,28,uniforme,swap,21.202331066131592,1558.5460381796202,283.48184832846914,624.2930335107228,2.6160597042476446,68
NSGA2_sin_filtro,0,uniforme,swap,19.383294582366943,1548.215596621032,281.6926590695716,623.9014137046136,2.604371062406155,100
NSGA2_sin_filtro,1,uniforme,swap,19.599477529525757,1555.2689582614432,280.084891691934,624.6021276625087,2.6035395385740854,100
NSGA2_sin_filtro,2,uniforme,swap,30.020398139953613,1551.8941760633977,280.6233999488263,624.1703423819523,2.6030303388829568,100
NSGA2_sin_filtro,18,uniforme,swap,19.52691149711609,1557.8431669412994,282.0041543224859,624.4965275659143,2.611073327735004,100
NSGA2_sin_filtro,19,uniforme,swap,19.357560396194458,1570.9203233140577,281.4470872593324,625.3230255082551,2.616935727057073,100
NSGA2_sin_filtro,20,uniforme,swap,19.40027403831482,1564.0229921340476,282.1574308028632,624.9965486016938,2.615388477698035,100
NSGA2_sin_filtro,21,uniforme,swap,19.498061895370483,1554.5366966189063,278.84477436836,624.5347511978434,2.5989434312485247,100
NSGA2_sin_filtro,23,uniforme,swap,19.381009817123413,1545.7244321681897,280.0860733484879,623.7737706918123,2.5975878472816434,100
NSGA2_sin_filtro,24,uniforme,swap,19.37498688697815,1554.6155181493332,277.59110328676996,624.7087064465677,2.5950524459066155,100
NSGA2_sin_filtro,22,uniforme,swap,19.561038970947266,1557.5817282463956,280.56535691813747,624.6804449703067,2.606409356188856,100
NSGA2_sin_filtro,3,uniforme,swap,29.919304370880127,1561.3183805636627,281.26108962251146,624.8019485973537,2.610770367972137,100
NSGA2_sin_filtro,5,uniforme,swap,29.897257566452026,1555.1785017628035,281.6109406925589,624.3547144168906,2.6082276928331085,100
NSGA2_sin_filtro,4,uniforme,swap,29.928817749023438,1563.3628608999354,286.7220622190354,624.4930069640725,2.6295545049382847,100
NSGA2_sin_filtro,6,uniforme,swap,29.978848218917847,1553.949310377008,280.68600296838866,624.3142376033071,2.6044721473735715,100
NSGA2_sin_filtro,7,uniforme,swap,29.89189100265503,1556.0206122677318,279.7672123499089,624.5273671092643,2.602749633646797,100
NSGA2_sin_filtro,9,uniforme,swap,30.073140144348145,1563.3216097164702,284.1481554017086,624.6755738782973,2.621214999832927,100
NSGA2_sin_filtro,10,uniforme,swap,30.22170639038086,1553.6619559613225,282.6638102568901,624.1107294605292,2.610630435209146,100
NSGA2_sin_filtro,11,uniforme,swap,30.23489546775818,1551.3586215722369,283.530008502765,623.9750117470084,2.612172213052966,100
NSGA2_sin_filtro,8,uniforme,swap,30.296422004699707,1551.281707296755,281.7001332840908,624.1333961236231,2.6062604352481418,100
NSGA2_sin_filtro,13,uniforme,swap,30.117856979370117,1569.471456671331,281.0301649185199,625.5741658901321,2.6151803245737777,100
NSGA2_sin_filtro,15,uniforme,swap,30.20302963256836,1547.152836384624,282.7281448965787,623.7220991507089,2.607035138062873,100
NSGA2_sin_filtro,12,uniforme,swap,30.396786212921143,1557.0419069188654,283.893461228928,624.3160904467917,2.616712620098895,100
NSGA2_sin_filtro,14,uniforme,swap,30.387042999267578,1555.3406351598342,282.8138751609826,624.2027441686535,2.6121014407384116,100
NSGA2_sin_filtro,17,uniforme,swap,30.353087902069092,1548.1613805914726,281.0260043880134,623.9963366885424,2.60225737638227,100
NSGA2_sin_filtro,16,uniforme,swap,30.56038808822632,1542.8452305439644,282.18867592776735,623.3544614860692,2.6025579085827344,100
NSGA2_sin_filtro,25,uniforme,swap,19.508878707885742,1543.5775931704966,282.7699715968757,623.551207109195,2.605142807302255,100
NSGA2_sin_filtro,27,uniforme,swap,19.88092350959778,1562.8728646203747,283.10847724724323,624.6903920793638,2.6175462022953275,100
NSGA2_sin_filtro,28,uniforme,swap,19.592103242874146,1550.18453293949,280.7946650611496,624.1632195577315,2.6027362255655744,100
NSGA2_sin_filtro,29,uniforme,swap,19.532363414764404,1545.4905666690258,281.68456638234716,623.566513801501,2.6025031433730526,100
NSGA2_sin_filtro,26,uniforme,swap,30.538743257522583,1559.3955792988158,285.51542311804445,624.3590741698163,2.623357401237865,100
NSGA2_one_point,2,one_point,swap,20.883873462677002,1543.0622495678663,281.3183696779835,623.5143928027751,2.599993870571652,74
NSGA2_one_point,0,one_point,swap,21.20893430709839,1561.2522709080442,286.34883736888827,624.3340545666427,2.627028052255044,71
NSGA2_one_point,3,one_point,swap,21.376380920410156,1561.6677135901698,282.8483794665776,624.6424704948569,2.6160081747715678,74
NSGA2_one_point,17,one_point,swap,21.443822860717773,1559.0762845018355,281.9699833630402,624.5222713604448,2.6116127601664494,72
NSGA2_one_point,19,one_point,swap,20.92823815345764,1547.3876888930363,275.9564560359431,624.2290496917102,2.5853044831735335,55
NSGA2_one_point,1,one_point,swap,31.869153261184692,1560.0298817240578,286.2223308730373,624.3530340810206,2.626022282935516,76
NSGA2_one_point,4,one_point,swap,32.06312584877014,1556.6302006319452,276.8943537802124,624.7735505286397,2.5938299231956896,62
NSGA2_one_point,8,one_point,swap,32.22369146347046,1555.2142883473437,283.4533258971842,624.1579969079971,2.6141058451280914,74
NSGA2_one_point,9,one_point,swap,32.062259912490845,1545.3736029935246,277.5272202157737,623.993262815838,2.58919648242911,69
NSGA2_one_point,6,one_point,swap,32.39765501022339,1552.8114327983405,285.93420013012076,623.9029025723468,2.6208095776505447,73
NSGA2_one_point,5,one_point,swap,32.51879286766052,1563.3558356973524,279.36254544369723,625.0210063584534,2.605773554601648,69
NSGA2_one_point,7,one_point,swap,32.64646625518799,1557.981631111227,282.6793634765315,624.4320758320873,2.6133011830946526,66
NSGA2_one_point,11,one_point,swap,32.784656047821045,1544.2842273470555,281.99929696403126,623.5815694503916,2.6029705837208583,70
NSGA2_one_point,15,one_point,swap,32.50522589683533,1548.5185032838442,281.88216219307543,623.7488686801684,2.604936271352414,69
NSGA2_one_point,12,one_point,swap,32.79308032989502,1544.4650294156686,284.58311948044127,623.3737494892877,2.6113768408178113,73
NSGA2_one_point,13,one_point,swap,32.94746160507202,1541.8937365378342,281.2875478758142,623.4332005012092,2.599190885713835,69
NSGA2_one_point,10,one_point,swap,33.16900420188904,1550.1499594240577,282.613757577368,623.9016787193127,2.608408950759417,70
