configuracion_nombre,cruce,mutacion,prom_makespan,prom_balance,prom_energia,prom_tiempo,prom_score
Uniforme + Swap,uniforme,swap,1559.395644373973,280.34476980572106,624.6288237931416,25.986970098813376,2.6065072793391164
Uniforme + Insert,uniforme,insert,1564.3371450083853,282.1892873777137,624.8430006447376,28.331709186236065,2.615432388493815
Uniforme + Invert,uniforme,invert,1555.6822039051763,281.9587164196168,624.2963148965187,29.74900914033254,2.6095553684415753
1-Punto + Swap,un_punto,swap,1560.1600927373756,281.12820821035706,624.6406296161811,27.869931674003602,2.6095178303310886
1-Punto + Insert,un_punto,insert,1567.7102337241502,283.67425949806363,625.0080315283194,28.807902852694195,2.622304598324648
1-Punto + Invert,un_punto,invert,1555.435493063633,282.5294872723141,624.2598877664681,26.22464830080668,2.611282543772579
