tamano_poblacion,num_generaciones,prob_cruce,prob_mutacion,cada_k_gen,max_iter_local,semilla,makespan,balance,energia,tamano_frente,score_agregado,tiempo
100,400,0.6,0.1,5,3,20,1552.2135219188694,278.62298893009995,624.3932494912159,100,2.596840413809124,19.76395273208618
100,400,0.6,0.1,5,3,18,1553.4045836109672,284.40844005101303,623.9061709486984,100,2.6160249552355723,19.95648694038391
100,400,0.6,0.1,5,3,12,1557.4133087521539,285.9676660320726,624.2257107102262,100,2.623683223116642,19.978971481323242
100,400,0.6,0.1,5,3,22,1549.1329364730368,279.1101721268394,624.0058569368896,100,2.5963706471405876,19.983927726745605
100,400,0.6,0.1,5,3,11,1563.0774003535992,281.570032017729,624.7773886085284,100,2.6126446001528416,19.994170665740967
100,400,0.6,0.1,5,3,3,1562.9109845665516,284.4548751454076,624.6482175749904,100,2.621993005970335,20.00481343269348
100,400,0.6,0.1,5,3,10,1562.3535971928154,282.0038737350261,624.6864207677816,100,2.613598883571897,20.173759937286377
100,400,0.6,0.1,5,3,1,1558.169098298125,280.98350357666897,624.6930027264625,100,2.608114803061477,20.36578106880188
100,400,0.6,0.1,5,3,19,1561.5856664614246,281.6340997592888,624.691728729444,100,2.611989921089452,32.64729952812195
100,400,0.6,0.1,5,3,5,1549.1113989405014,282.1204050057157,623.8541795201329,100,2.6061773059466358,32.720378398895264
100,400,0.6,0.1,5,3,9,1557.3877821130757,280.29886767653966,624.5138245435353,100,2.605186056469101,32.74766683578491
100,400,0.6,0.1,5,3,21,1558.578549379167,282.665047576072,624.5193321568266,100,2.613676574452909,32.8377320766449
100,400,0.6,0.1,5,3,23,1561.5091589183048,281.51893096928495,624.7818725024576,100,2.6116965481698036,32.879576444625854
100,400,0.6,0.1,5,3,17,1557.9322117614513,281.49257075098774,624.4772649887125,100,2.6093850536059886,32.923121213912964
100,400,0.6,0.1,5,3,0,1561.5599400451788,285.7247215375725,624.4845292849155,100,2.6253164646024723,32.9266357421875
100,400,0.6,0.1,5,3,13,1556.33676492283,287.60612433912377,623.8972538149441,100,2.6281372547560333,33.017536640167236
100,400,0.6,0.1,5,3,4,1564.4430819976446,286.21307358460524,624.4670498757397,100,2.6283609051509442,33.02962803840637
100,400,0.6,0.1,5,3,6,1553.0015291265604,280.6422631253177,624.213886597865,100,2.6037090986922413,33.03785276412964
100,400,0.6,0.1,5,3,2,1553.9273690792443,284.1909721720118,624.0822399685733,100,2.6158129822109566,33.04589772224426
100,400,0.6,0.1,5,3,8,1545.2014054868962,282.4608385893494,623.5636632723042,100,2.6049420646207615,33.06556534767151
100,400,0.6,0.1,5,3,7,1564.8735466598944,283.7075162860467,624.8380291268041,100,2.6207542501788708,33.201290130615234
100,400,0.6,0.1,5,3,15,1566.3493853950051,284.4915659780403,624.7516675273245,100,2.6239822948061953,33.234928369522095
100,400,0.6,0.1,5,3,14,1561.8411481283879,283.59406369273967,624.649149924689,100,2.618590048170501,33.23826479911804
100,400,0.6,0.1,5,3,16,1557.4587987226214,278.446491019987,624.6120603132571,100,2.599187312732587,33.41157054901123
100,400,0.6,0.1,5,3,25,1548.0524216713907,283.0274101542994,623.6534531943743,100,2.6083844159134184,22.41860032081604
100,400,0.6,0.1,5,3,24,1563.3958453332116,284.0549223527917,624.7169876589934,100,2.621000503355426,22.623899936676025
100,400,0.6,0.1,5,3,26,1551.5618898471066,281.8504337440498,624.0340192691787,100,2.6067595611215935,22.431840658187866
100,400,0.6,0.1,5,3,27,1554.6603285411084,281.35072682401153,624.240300041025,100,2.606937777552057,22.443164110183716
100,400,0.6,0.1,5,3,28,1553.8259594240571,283.3198674690686,624.0825810814501,100,2.612859082344329,22.480143785476685
100,400,0.6,0.1,5,3,29,1557.2669946431217,282.3375977075899,624.3251249291106,100,2.6116518586265425,22.584214687347412
100,400,0.6,0.1,5,5,0,1562.8513828238474,281.36775328734484,624.8064444462216,100,2.6118988372929137,24.662914276123047
100,400,0.6,0.1,5,5,1,1562.5264424593054,284.70236015432295,624.6232246221244,100,2.6225899807280495,24.742780923843384
100,400,0.6,0.1,5,5,20,1567.7233550884803,279.9651542616389,625.0908823281023,100,2.6100658331708018,24.68581748008728
