Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Promedio_Mejor_Generacion,Desviacion_Generacion,Promedio_Mejor_Fitness,Desviacion_Fitness,Promedio_promedios,Desviacion_promedio_20p
1,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,166.2,82.14428013331597,0.0006318952119244867,2.8604712222562224e-06,0.0006318134434497867,2.85838218085143e-06
1,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,214.63333333333333,80.70016166002411,0.00063941080487177,2.515246928156213e-06,0.0006392318801617399,2.4816836105849317e-06
1,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,151.1,90.78483467461156,0.0006323826958994533,2.540658619588381e-06,0.0006320050455348301,2.325388254222713e-06
1,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,259.1333333333333,38.41850607709001,0.0006400666499154033,1.8323193214825673e-06,0.0006398353103210634,1.771807038900117e-06
1,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,172.13333333333333,89.6428674137598,0.0006333988431127667,2.29986295705677e-06,0.0006330507207162266,2.2048842745635045e-06
1,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,241.4,48.16179627764785,0.00063936234127487,2.172345263495888e-06,0.0006392002707342734,2.2130283228681675e-06
1,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,160.5,76.29965878714323,0.0006320560721536667,2.5985556477837966e-06,0.0006317513127212966,2.7985326213128567e-06
1,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,241.16666666666666,56.6794272312659,0.00063966905924043,1.7381411785672275e-06,0.0006393940806039634,1.517399439350845e-06
1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,161.66666666666666,85.89822901041929,0.00063113902301813,2.158920374427257e-06,0.00063090387246343,1.9544814351180266e-06
1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,246.93333333333334,42.23981887805127,0.00063952880774421,1.747134374879089e-06,0.0006392672019499033,1.8682038092079033e-06
1,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,170.4,85.2944595362806,0.0006303187819534401,2.8398891996984113e-06,0.0006301009497069433,2.8877668664191733e-06
