Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion
6,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006420068989602156,92
6,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006448064353245831,288
6,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006453643822012116,191
6,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006454588043441621,300
6,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006411719977139722,279
6,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006411215602816312,283
6,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006426468247167172,196
6,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.00063959767011044,160
7,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006374358345426954,290
7,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006448102979850907,244
7,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006427620280468951,263
7,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006416556241243555,213
7,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006478720649533478,173
7,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006423870834698116,246
7,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006354828016778512,193
7,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006400211002728456,235
7,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006443762210806545,296
7,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006411215602816312,248
8,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006412482606177675,285
8,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006408612426754316,176
8,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006378367691806955,245
8,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006374499233378858,294
8,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006451866738307807,298
8,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006405230385294068,130
8,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006394785423689648,203
8,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000640794994613801,153
8,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006424559082388491,235
8,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006435810376391127,215
9,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006408480422653823,224
9,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.00064731362499597,172
9,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006403914056611683,270
9,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006380286042506327,168
9,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006461249012418921,283
9,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006420594086751867,282
9,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006418637171693227,297
9,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006401269329402713,190
9,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000639193928100265,220
9,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006429910843812013,218
10,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006437443503635112,263
10,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000646831344477124,265
10,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006404472997831467,257
10,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006403508476495216,100
10,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006465980614356162,113
