Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Promedio_Mejor_Generacion,Desviacion_Generacion,Promedio_Mejor_Fitness,Desviacion_Fitness
1,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,174.9090909090909,88.35637206703593,0.0006326796321959273,2.216491804834981e-06
1,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,244.6818181818182,56.755437216883934,0.00064013837712195,1.7884586809872626e-06
1,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,173.45454545454547,70.86790345607623,0.0006324999335175727,2.613775807554345e-06
1,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,245.72727272727272,51.12187288671932,0.0006407554245824955,1.336652220559444e-06
1,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,162.54545454545453,83.60321665760138,0.0006324808269512136,2.5138633363950373e-06
1,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,243.13636363636363,58.61033181676244,0.0006397653897372637,2.73834626150839e-06
1,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,169.27272727272728,91.72795275169568,0.0006327069823005136,2.185979108693986e-06
1,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,244.0909090909091,42.35441067818208,0.0006396492606282136,2.3722604820572143e-06
1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,152.13636363636363,99.93345188271446,0.0006306973700762591,2.791619306567066e-06
1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,246.45454545454547,49.77925296721542,0.0006398385736658909,2.251219489021515e-06
1,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,184.54545454545453,86.46316434111573,0.000630783488625791,2.5129269487917213e-06
1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,235.13636363636363,51.27358500710204,0.000639132281625709,1.4377366339564643e-06
2,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,189.4090909090909,85.02641555417553,0.0006366277193143091,2.122014188915305e-06
2,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,230.8181818181818,64.95686214245528,0.0006433662787608727,2.500644370114011e-06
2,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,183.6818181818182,52.31169072982621,0.0006370848754567682,2.304014273310308e-06
2,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,235.04545454545453,55.73190697029355,0.0006429019173623182,2.2098217723487914e-06
2,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,201.4090909090909,76.8719771165076,0.0006369087733878863,2.5623608248964294e-06
2,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,232.22727272727272,67.04364734522316,0.0006426320489596137,1.9373444049830844e-06
2,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,207.9090909090909,63.13998739830417,0.0006375439488181136,2.0912057155031863e-06
2,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,232.9090909090909,49.78899198561589,0.0006430114682621636,1.6945335267252509e-06
2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,180.95454545454547,81.47244773700947,0.0006373751131838637,2.5464316348562547e-06
2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,245.6818181818182,56.360562337622106,0.0006432956213471909,2.500618116909178e-06
2,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,205.36363636363637,72.97654251590546,0.0006370312419934636,2.0273511123620866e-06
2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,213.3181818181818,68.86037381724763,0.0006427769552432909,2.087862510512785e-06
3,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,200.36363636363637,84.67278499896246,0.0006344135732483318,1.911500894566896e-06
3,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,233.13636363636363,46.545722993679334,0.0006428599815956819,2.5528916056168167e-06
3,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,204.8181818181818,68.07183625975497,0.0006348973478231091,1.9712722794290484e-06
3,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,242.13636363636363,59.17954557715541,0.0006420172772920273,2.7614030908887132e-06
3,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,203.0,60.818230349601116,0.0006342393419835091,1.5600238351100805e-06
3,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,246.54545454545453,49.11379136418306,0.0006424760203214773,1.9399967146349175e-06
3,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,197.5,67.87295555107421,0.0006353590322215681,2.348940253216958e-06
3,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,225.6818181818182,59.75217578316718,0.0006415886043494592,1.8330623096724673e-06
3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,159.27272727272728,79.62362763603576,0.0006337185472507409,1.9258603733603234e-06
3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,243.72727272727272,57.01059368404956,0.0006415922826229864,1.8528390773965792e-06
3,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,180.9090909090909,69.2716592161814,0.0006339657855822228,2.209645054639038e-06
3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,259.6363636363636,42.16921180485147,0.0006422934575776091,2.2291912680308666e-06
4,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,191.13636363636363,97.58039198749358,0.000635462920296841,2.58727389603378e-06
4,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,218.77272727272728,76.28638511630075,0.00064127989528305,1.4116086267404467e-06
4,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,213.04545454545453,84.07789884144985,0.0006355655485412681,2.977495571861355e-06
4,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,238.95454545454547,63.34521989161362,0.0006427449157172273,1.9185282218223764e-06
4,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,218.36363636363637,73.48180562272377,0.0006349184259625227,2.1318611159555603e-06
4,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,236.0909090909091,44.633864029252706,0.0006412536403318228,1.7122384088963939e-06
4,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,190.86363636363637,78.18250654081339,0.0006352182502133408,2.806126846094634e-06
4,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,252.22727272727272,47.41200553022693,0.0006414984264385046,1.5972968829762036e-06
4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,168.77272727272728,88.07028136025488,0.0006351094673047409,2.46032236992231e-06
4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,238.9090909090909,54.96917672305444,0.0006412077009312636,2.1185209619628573e-06
4,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,199.54545454545453,79.675967143548,0.0006350898734504818,3.0442759826623617e-06
4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,259.22727272727275,44.6392223628523,0.000641732695434341,1.7189571304745554e-06
5,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,212.5,70.05015210207476,0.0006372965555282,1.8766427458740079e-06
5,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,226.54545454545453,62.43451981131323,0.0006435870149234318,2.274416464450689e-06
5,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,199.04545454545453,80.60986426269565,0.0006372992599805409,2.0833059444419873e-06
